"account","n_res","n_oth","yrs_res_all","yrs_oth_all","yrs_res_min","yrs_oth_min","yrs_res_max","yrs_oth_max"
"0050920000008",1,0,"2012",NA,2012,NA,2012,NA
"0050920000012",1,0,"2011",NA,2011,NA,2011,NA
"0050930000001",1,0,"2015",NA,2015,NA,2015,NA
"0050970000007",1,0,"2007",NA,2007,NA,2007,NA
"0050980000004",1,0,"2015",NA,2015,NA,2015,NA
"0051010000001",1,0,"2016",NA,2016,NA,2016,NA
"0051010000008",0,1,NA,"2008",NA,2008,NA,2008
"0051020000007",0,1,NA,"2012",NA,2012,NA,2012
"0051040000006",0,1,NA,"2011",NA,2011,NA,2011
"0051040000011",1,0,"2014",NA,2014,NA,2014,NA
"0051050000001",1,0,"2010",NA,2010,NA,2010,NA
"0051050000024",1,0,"2015",NA,2015,NA,2015,NA
"0051060000010",1,0,"2012",NA,2012,NA,2012,NA
"0051100000002",1,0,"2016",NA,2016,NA,2016,NA
"0051100000003",1,0,"2014",NA,2014,NA,2014,NA
"0051110000030",1,0,"2006",NA,2006,NA,2006,NA
"0051140000004",1,0,"2014",NA,2014,NA,2014,NA
"0051140000010",1,0,"2015",NA,2015,NA,2015,NA
"0051150000014",1,0,"2012",NA,2012,NA,2012,NA
"0051190000001",1,0,"2015",NA,2015,NA,2015,NA
"0051200000001",1,0,"2016",NA,2016,NA,2016,NA
"0051290000008",2,0,"2011",NA,2011,NA,2011,NA
"0051320000006",1,0,"2008",NA,2008,NA,2008,NA
"0051340000001",0,1,NA,"2014",NA,2014,NA,2014
"0051400000004",1,0,"2008",NA,2008,NA,2008,NA
"0051440000005",1,0,"2016",NA,2016,NA,2016,NA
"0051650000001",1,0,"2010",NA,2010,NA,2010,NA
"0051650000014",1,0,"2015",NA,2015,NA,2015,NA
"0051740000008",2,0,"2012",NA,2012,NA,2012,NA
"0051740000009",1,0,"2012",NA,2012,NA,2012,NA
"0051760000010",1,0,"2008",NA,2008,NA,2008,NA
"0051770000020",0,2,NA,"2008",NA,2008,NA,2008
"0051770000022",2,0,"2011, 2014",NA,2011,NA,2014,NA
