,account,permitID,agencyID,permitStatus,desc,stateClass,permitType,propertyType,issueDate,year,siteNo,sitePrefix,siteStreet,siteType,siteSuffix,siteApt
,account,permitID,ERROR: KEY NOT FOUND,ERROR: KEY NOT FOUND,desc,ERROR: KEY NOT FOUND,permitTypeDesc,ERROR: KEY NOT FOUND,issueDate,year,siteNo,sitePrefix,siteStreet,siteType,siteSuffix,siteApt
12832,700110070007,1401070,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,05/19/2014,2015,205,NA,GANS,NA,ST,NA
12854,700110190022,1377348,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,11/07/2013,2015,307,N,CAROLINA,NA,ST,NA
12859,700110250001,1427794,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,ERROR: KEY NOT FOUND,Commercial Demolition,ERROR: KEY NOT FOUND,12/31/2014,2015,201,NA,CALLOWAY,NA,ST,NA
12862,700110250025,1240617,CITY OF HOUSTON,Complete,RES. DEMO/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,08/06/2010,2011,242,NA,MISSISSIPPI,NA,ST,NA
12864,700110280047,1218430,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,ERROR: KEY NOT FOUND,Commercial Demolition,ERROR: KEY NOT FOUND,02/17/2010,2011,158,NA,MISSISSIPPI,NA,ST,NA
12865,700120000017,1229775,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,05/10/2010,2011,1021,NA,DEFENDER,NA,ST,NA
12866,700210000023,1392516,CITY OF HOUSTON,Incomplete,DEMO RES / SEWER DISC,ERROR: KEY NOT FOUND,Commercial Demolition,ERROR: KEY NOT FOUND,03/24/2014,2016,3015,NA,PRESTON,NA,ST,NA
12867,700270010027,1229292,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,05/04/2010,2011,3302,NA,ARBOR,NA,ST,NA
12868,700270020002,1126186,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,06/20/2007,2008,3305,NA,ARBOR,NA,ST,NA
12869,700270020019,1291051,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,11/21/2011,2012,3338,NA,WENTWORTH,NA,ST,NA
12870,700280080022,1126862,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,08/29/2007,2008,3418,NA,BLODGETT,NA,ST,NA
12871,700290030016,1392811,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Commercial Demolition,ERROR: KEY NOT FOUND,03/28/2014,2015,2053,NA,JOHANNA,NA,DR,NA
12872,700290040002,1237695,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,07/26/2010,2011,2060,NA,JOHANNA,NA,DR,NA
12873,700290040009,1215555,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,01/05/2010,2011,2002,NA,JOHANNA,NA,DR,NA
12874,700290040025,1313044,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,06/13/2012,2013,2031,NA,JACQUELYN,NA,ST,NA
12875,700290040025,1314457,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,06/13/2012,2013,2031,NA,JACQUELYN,NA,DR,NA
12876,700290070001,1292873,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,12/27/2011,2012,1928,NA,JOHANNA,NA,DR,NA
12877,700290080002,1135711,CITY OF HOUSTON,Complete,DEMO APT/ SEWER DISC,ERROR: KEY NOT FOUND,Commercial Demolition,ERROR: KEY NOT FOUND,01/31/2008,2009,1910,NA,WIRT,NA,RD,BLD 1
12878,700290080002,1135712,CITY OF HOUSTON,Complete,DEMO APT/ SEWER DISC,ERROR: KEY NOT FOUND,Commercial Demolition,ERROR: KEY NOT FOUND,01/31/2008,2009,1910,NA,WIRT,NA,RD,BLD 2
12879,700290080002,1135713,CITY OF HOUSTON,Complete,DEMO BLD/ SEWER DISC,ERROR: KEY NOT FOUND,Commercial Demolition,ERROR: KEY NOT FOUND,01/31/2008,2009,1910,NA,WIRT,NA,RD,BLD 3
12880,700290080002,1135714,CITY OF HOUSTON,Complete,DEMO APT/ SEWER DISC,ERROR: KEY NOT FOUND,Commercial Demolition,ERROR: KEY NOT FOUND,01/31/2008,2009,1910,NA,WIRT,NA,RD,BLD 4
12881,700290090008,1189190,CITY OF HOUSTON,Complete,BLDG DEMO/SEWER DISC ( SWIMING POOL ),ERROR: KEY NOT FOUND,Commercial Demolition,ERROR: KEY NOT FOUND,02/18/2009,2010,1714,NA,WIRT,NA,RD,NA
12882,700290100005,1141092,CITY OF HOUSTON,Complete,DEMO BLD/SEWER DISC,ERROR: KEY NOT FOUND,Commercial Demolition,ERROR: KEY NOT FOUND,04/10/2008,2009,7709,NA,LONG POINT,NA,RD,NA
12883,700290100007,1263185,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,03/22/2011,2012,1717,NA,JACQUELYN,NA,DR,NA
12884,700310030007,1144705,CITY OF HOUSTON,Complete,DEMO RES / SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,05/29/2008,2009,6426,NA,COUNTRY CLUB,NA,DR,NA
12885,700330080011,1314050,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,06/26/2012,2013,6442,NA,BROOKSIDE,NA,DR,NA
12886,700330090009,1427577,CITY OF HOUSTON,Incomplete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,12/26/2014,2016,6431,NA,BROOKSIDE,NA,DR,NA
12887,700350010013,1196735,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,06/08/2009,2010,2518,NA,LINDER,NA,ST,NA
12890,700410010019,1277020,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,07/05/2011,2012,4826,NA,EPPES,NA,ST,NA
12895,700420060005,1312643,CITY OF HOUSTON,Complete,RES DEMO/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,06/08/2012,2013,4918,NA,GAMMAGE,NA,ST,NA
12896,700420090009,1277590,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,07/12/2011,2012,4934,NA,EPPES,NA,ST,NA
12897,700420090010,1190207,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,03/04/2009,2010,4938,NA,EPPES,NA,ST,NA
12898,700440030009,1277265,CITY OF HOUSTON,Complete,DEMO GARAGE/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,07/07/2011,2012,2219,NA,MARLO,NA,ST,NA
12899,700440040003,1318876,CITY OF HOUSTON,Complete,DEMO RESIDENCE/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,07/25/2012,2013,2243,NA,HARWELL,NA,DR,NA
12907,700450020011,2,ERROR: KEY NOT FOUND,Complete,DWG DEMO,Condo - High Rise,Residential Demolition,ERROR: KEY NOT FOUND,02/01/2012,2012,4006,NA,AMHERST,NA,ST,NA
12918,700510130002,1262546,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,03/15/2011,2012,2404,NA,FAIRBANKS,NA,ST,NA
12919,700510130009,1220028,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,03/09/2010,2011,2510,NA,FAIRBANKS,NA,ST,NA
12920,700510130012,1296894,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,01/26/2012,2013,2522,NA,FAIRBANKS,NA,ST,NA
12924,700530110025,1400924,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,05/16/2014,2015,9114,NA,ALLWOOD,NA,ST,NA
12925,700530110046,1280406,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,08/02/2011,2012,8825,NA,BERTWOOD,NA,ST,NA
12926,700530130012,1175481,CITY OF HOUSTON,Complete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,12/17/2008,2009,9317,NA,GRADY,NA,ST,NA
12927,700530130016,1426671,CITY OF HOUSTON,Incomplete,DEMO RES/SEWER DISC,ERROR: KEY NOT FOUND,Residential Demolition,ERROR: KEY NOT FOUND,12/12/2014,2016,9405,NA,GRADY,NA,ST,NA
