"account","permitID","agencyID","permitStatus","desc","stateClass","permitType","propertyType","issueDate","year","siteNo","sitePrefix","siteStreet","siteType","siteSuffix","siteApt"
"0032180000023","1197060","061","C","DEMO OF GARAGE ONLY (NO SEWER IS INVOLVED)",NA,"13",NA,"06/10/2009",2010,"2119",NA,"FLETCHER",NA,"ST",NA
"0032200000031","3","000","C","DEMO","A1","13",NA,"01/14/2015",2015,NA,NA,NA,NA,NA,NA
"0032270000016","1426470","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"12/09/2014",2015,"2203",NA,"FULTON",NA,"ST",NA
"0032370000004","1174580","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"12/03/2008",2009,"306",NA,"WINNIE",NA,"ST",NA
"0032370000027","2","061","C","DEMO RES / SEWER DISC",NA,"13",NA,"08/26/2010",2011,"2209",NA,"KEENE",NA,"ST",NA
"0032380000019","1","000","C","CHK FOR DEMO","A1","43",NA,"09/23/2010",2011,NA,NA,NA,NA,NA,NA
"0032380000021","1291682","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"12/02/2011",2012,"2506",NA,"KEENE",NA,"ST","BLD A"
"0032380000021","1291683","061","C","DEMO RES/SEWER DSIC",NA,"13",NA,"12/02/2011",2012,"2506",NA,"KEENE",NA,"ST","BLD B"
"0032380000030","1356809","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"06/06/2013",2014,"2324",NA,"KEENE",NA,"ST",NA
"0032380000032","1356808","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"06/06/2013",2014,"2320",NA,"KEENE",NA,"ST",NA
"0032380000051","1164527","061","C","DEMO RES/ SEWER DISC",NA,"13",NA,"08/07/2008",2009,"2315","N","MAIN",NA,"ST","A"
"0032430000002","1",NA,"C","DEMO","A1","13",NA,"12/30/1899",2014,NA,NA,NA,NA,NA,NA
"0032470000063","1420000","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"10/01/2014",2015,"2317",NA,"FREEMAN",NA,"ST",NA
"0032540000002","1208618","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"10/05/2009",2010,"2310","N","MAIN",NA,"ST",NA
"0032540000004","1208619","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"10/02/2009",2010,"2300","N","MAIN",NA,"ST",NA
"0032540000005","2",NA,"C","DEMO","C1","13",NA,"02/08/2013",2013,NA,NA,NA,NA,NA,NA
"0032550000009","1","000","C","DEMO","A1","13",NA,"01/01/2008",2008,NA,NA,NA,NA,NA,NA
"0032550000133","1","000","C","DEMO-CRPT","A1","13",NA,"12/30/1899",2008,NA,NA,NA,NA,NA,NA
"0032550000145","1324233","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"09/14/2012",2013,"1219",NA,"MORRIS",NA,"ST",NA
"0032590000003","1136953","061","C","DEMO BLD / SEWER DISC",NA,"33",NA,"02/18/2008",2009,"2518","N","MAIN",NA,"ST",NA
"0032590000030","1205240","061","C","DEMO BLD/SEWER DISC",NA,"33",NA,"08/31/2009",2010,"606",NA,"BOUNDARY",NA,"ST",NA
"0032600000012","1162271","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"07/28/2008",2009,"2421",NA,"EVERETT",NA,"ST",NA
"0032600000019","1281848","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"08/23/2011",2012,"710",NA,"BOUNDARY",NA,"ST",NA
"0040200000010","2","000","C","DEMO-BLDG 2","A1","13",NA,"03/10/2014",2014,NA,NA,NA,NA,NA,NA
"0040240000003","1250205","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"11/22/2010",2011,"4606",NA,"COLLINGSWORTH",NA,"ST",NA
"0040240000008","1","061","C","DEMO","A1","13",NA,"01/24/2007",2007,NA,NA,NA,NA,NA,NA
"0040290000010","1381233","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"12/20/2013",2014,"4701",NA,"ENGLEFORD",NA,"ST",NA
"0040320000006","1","000","C","DEMO","A1","13",NA,"06/02/2005",2005,NA,NA,NA,NA,NA,NA
"0040440000004","1324787","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"09/24/2012",2013,"4614",NA,"JEWEL",NA,"ST",NA
"0040490000004","1","000","C","DEMO","A1","13",NA,"01/29/2015",2015,NA,NA,NA,NA,NA,NA
"0040490000008","1396639","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"04/22/2014",2015,"4717",NA,"LELIA",NA,"ST",NA
"0040560000009","1139492","061","C","DEMO RES/SEWER DISC",NA,"13",NA,"03/21/2008",2009,"4603",NA,"LIBERTY",NA,"RD",NA
